연도,시도,시군구,계약종별, 1월 , 2월 , 3월 , 4월 , 5월 , 6월 , 7월 , 8월 , 9월 , 10월 , 11월 , 12월 ,
2024,서울특별시,영등포구,농사용," 2,431 "," 2,543 "," 2,254 "," 2,335 "," 2,014 "," 1,847 "," 1,847 "," 2,215 "," 2,859 "," 2,232 "," 2,076 "," 2,638 ",
2024,서울특별시,영등포구,가로등," 1,383,972 "," 1,319,584 "," 1,207,493 "," 1,153,403 "," 1,049,887 "," 999,619 "," 973,540 "," 1,034,244 "," 1,101,696 "," 1,183,218 "," 1,273,507 "," 1,325,942 ",
2024,서울특별시,영등포구,심 야," 1,477,040 "," 1,481,965 "," 1,735,545 "," 3,884,347 "," 5,867,894 "," 9,534,208 "," 13,718,710 "," 15,518,036 "," 11,871,916 "," 5,895,799 "," 2,449,423 "," 1,497,629 ",
2024,서울특별시,영등포구,합 계," 252,618,368 "," 233,431,588 "," 214,531,367 "," 206,646,973 "," 204,856,841 "," 232,557,182 "," 277,732,397 "," 320,099,707 "," 292,745,029 "," 223,355,357 "," 201,892,595 "," 227,223,966 ",
2024,서울특별시,동작구,주택용," 47,996,990 "," 47,028,894 "," 41,969,127 "," 42,153,973 "," 39,370,478 "," 43,196,057 "," 52,036,792 "," 71,446,478 "," 68,674,979 "," 47,203,170 "," 41,368,011 "," 43,490,336 ",
2024,서울특별시,동작구,일반용," 54,147,547 "," 50,415,209 "," 44,063,302 "," 41,213,133 "," 40,313,919 "," 46,538,698 "," 53,705,392 "," 62,067,707 "," 58,525,279 "," 45,020,147 "," 40,928,891 "," 47,016,768 ",
2024,서울특별시,동작구,교육용," 9,882,344 "," 8,180,693 "," 7,579,717 "," 5,982,639 "," 5,294,755 "," 6,550,618 "," 7,303,732 "," 7,647,485 "," 7,873,276 "," 5,683,920 "," 5,739,546 "," 9,034,213 ",
2024,서울특별시,동작구,산업용," 4,561,573 "," 4,406,694 "," 4,452,999 "," 4,673,273 "," 4,607,590 "," 4,816,866 "," 5,184,118 "," 5,537,818 "," 5,338,499 "," 4,949,149 "," 4,765,886 "," 4,633,770 ",
2024,서울특별시,동작구,농사용," 29,709 "," 17,719 "," 13,975 "," 28,107 "," 21,647 "," 17,567 "," 25,364 "," 20,446 "," 23,069 "," 9,166 "," 7,436 "," 6,771 ",
2024,서울특별시,동작구,가로등," 716,208 "," 670,403 "," 610,710 "," 574,303 "," 520,467 "," 492,607 "," 488,562 "," 522,407 "," 569,244 "," 613,305 "," 661,698 "," 694,324 ",
2024,서울특별시,동작구,심 야," 684,077 "," 638,354 "," 513,677 "," 303,266 "," 232,954 "," 392,221 "," 544,843 "," 660,966 "," 597,070 "," 278,557 "," 215,759 "," 372,094 ",
2024,서울특별시,동작구,합 계," 118,018,448 "," 111,357,966 "," 99,203,507 "," 94,928,694 "," 90,361,810 "," 102,004,634 "," 119,288,803 "," 147,903,307 "," 141,601,416 "," 103,757,414 "," 93,687,227 "," 105,248,276 ",
2024,서울특별시,관악구,주택용," 59,116,076 "," 57,923,887 "," 51,461,062 "," 51,497,766 "," 47,992,948 "," 53,016,829 "," 64,182,703 "," 88,771,463 "," 84,704,339 "," 58,278,734 "," 51,061,598 "," 54,034,572 ",
2024,서울특별시,관악구,일반용," 71,653,970 "," 68,935,933 "," 59,987,164 "," 56,971,596 "," 54,753,293 "," 61,752,615 "," 70,732,062 "," 81,948,119 "," 79,054,907 "," 61,252,763 "," 55,180,158 "," 61,195,362 ",
2024,서울특별시,관악구,교육용," 23,500,540 "," 23,151,067 "," 19,282,282 "," 17,523,132 "," 14,557,722 "," 16,221,751 "," 18,750,268 "," 21,077,095 "," 21,847,953 "," 17,479,083 "," 16,456,148 "," 20,399,019 ",
